[1, 0]
[2789, 1]
[5578, 1]
[8367, 1]
[11156, 1]
[13944, 1]
[16733, 1]
[19522, 1]
[22311, 1]
[25099, 1]
[27888, 1]
[30677, 1]
[33466, 1]
[36254, 1]
[39043, 1]
[41832, 1]
[44621, 1]
[47409, 1]
[50198, 1]
[52987, 1]
[55776, 1]
[58564, 1]
[61353, 1]
[64142, 1]
[66931, 1]
[69719, 1]
[72508, 1]
[75297, 1]
[78086, 1]
[80874, 1]
[83663, 1]
[86452, 1]
[89241, 1]
[92029, 1]
[94818, 1]
[97607, 1]
[100396, 1]
[103184, 1]
[105973, 1]
[108762, 1]
[111551, 1]
[114339, 1]
[117128, 1]
[119917, 1]
[122706, 1]
[125494, 1]
[128283, 1]
[131072, 1]
[133861, 1]
[136649, 1]
[139438, 1]
[142227, 1]
[145016, 1]
[149199, 1]
[151988, 1]
[154776, 1]
[157565, 1]
[160354, 1]
[163143, 1]
[165931, 1]
[168720, 1]
[171509, 1]
[174298, 1]
[177086, 1]
[179875, 1]
[182664, 1]
[185453, 1]
[188241, 1]
[191030, 1]
[193819, 1]
[196608, 1]
[199396, 1]
[202185, 1]
[204974, 1]
[207763, 1]
[210551, 1]
[213340, 1]
[216129, 1]
[218918, 1]
[221706, 1]
[224495, 1]
[227284, 1]
[230073, 1]
[232861, 1]
[235650, 1]
[238439, 1]
[241228, 1]
[244016, 1]
[246805, 1]
[249594, 1]
[252383, 1]
[255171, 1]
[257960, 1]
[260749, 1]
[263538, 1]
[266326, 1]
[269115, 1]
[271904, 1]
[274693, 1]
[277481, 1]
[280270, 1]
[283059, 1]
[285848, 1]
[288636, 1]
[291425, 1]
[294214, 1]
[297003, 1]
[299791, 1]
[302580, 1]
[305369, 1]
[308158, 1]
[310946, 1]
[313735, 1]
[316524, 1]
[319313, 1]
[322101, 1]
[324890, 1]
[327679, 1]
[330468, 1]
[333256, 1]
[336045, 1]
[338834, 1]
[341623, 1]
[344411, 1]
[347200, 1]
[349989, 1]
[352778, 1]
[355566, 1]
[358355, 1]
[361144, 1]
[363933, 1]
[366721, 1]
[369510, 1]
[372299, 1]
[375088, 1]
[377876, 1]
[380665, 1]
[383454, 1]
[386243, 1]
[389031, 1]
[391820, 1]
[394609, 1]
[397398, 1]
[400186, 1]
[402975, 1]
[405764, 1]
[408553, 1]
[411341, 1]
[414130, 1]
[416919, 1]
[419708, 1]
[422496, 1]
[425285, 1]
[428074, 1]
[430863, 1]
[433651, 1]
[436440, 1]
[439229, 1]
[442018, 1]
[444806, 1]
[447595, 1]
[450384, 1]
[453173, 1]
[455961, 1]
[458750, 1]
[461539, 1]
[464328, 1]
[467116, 1]
[469905, 1]
[472694, 1]
[475483, 1]
[478271, 1]
[481060, 1]
[483849, 1]
[486638, 1]
[489426, 1]
[492215, 1]
[495004, 1]
[497793, 1]
[500581, 1]
[503370, 1]
[506159, 1]
[508948, 1]
[513131, 1]
[515919, 1]
[518708, 1]
[521497, 1]
[524286, 1]
[526070, 1]
[527853, 2]
[529637, 2]
[531420, 2]
[533203, 1]
[534986, 2]
[536770, 2]
[538553, 1]
[540336, 2]
[542119, 2]
[543903, 2]
[545686, 1]
[547469, 2]
[549253, 2]
[551036, 2]
[552819, 1]
[554602, 2]
