[1, 0]
[2093, 1]
[6276, 1]
[9065, 1]
[11854, 1]
[14643, 1]
[17431, 1]
[20220, 1]
[23009, 1]
[25798, 1]
[28586, 1]
[31375, 1]
[34164, 1]
[36953, 1]
[39741, 1]
[42530, 1]
[45319, 1]
[48108, 1]
[50896, 1]
[53685, 1]
[56474, 1]
[59263, 1]
[62051, 1]
[64840, 1]
[67629, 1]
[70418, 1]
[73206, 1]
[75995, 1]
[78784, 1]
[81573, 1]
[84361, 1]
[87150, 1]
[89939, 1]
[92728, 1]
[95516, 1]
[98305, 1]
[101094, 1]
[103883, 1]
[106671, 1]
[109460, 1]
[112249, 1]
[115038, 1]
[117826, 1]
[120615, 1]
[123404, 1]
[126193, 1]
[128981, 1]
[131770, 1]
[134559, 1]
[137348, 1]
[140136, 1]
[142925, 1]
[145714, 1]
[148503, 1]
[151291, 1]
[154080, 1]
[156869, 1]
[159658, 1]
[162446, 1]
[165235, 1]
[168024, 1]
[170813, 1]
[173601, 1]
[176390, 1]
[179179, 1]
[181968, 1]
[184756, 1]
[187545, 1]
[190334, 1]
[193123, 1]
[195911, 1]
[198700, 1]
[201489, 1]
[204278, 1]
[207066, 1]
[209855, 1]
[212644, 1]
[215433, 1]
[218221, 1]
[221010, 1]
[223799, 1]
[226588, 1]
[229376, 1]
[232165, 1]
[234954, 1]
[237743, 1]
[240531, 1]
[243320, 1]
[246109, 1]
[248898, 1]
[251686, 1]
[254475, 1]
[257264, 1]
[260053, 1]
[262841, 1]
[265630, 1]
[268419, 1]
[271208, 1]
[273996, 1]
[276785, 1]
[279574, 1]
[282363, 1]
[285151, 1]
[287940, 1]
[290729, 1]
[293518, 1]
[296306, 1]
[299095, 1]
[301884, 1]
[304673, 1]
[307461, 1]
[310250, 1]
[313039, 1]
[315828, 1]
[318616, 1]
[321405, 1]
[324194, 1]
[326983, 1]
[329771, 1]
[332560, 1]
[335349, 1]
[338138, 1]
[340926, 1]
[343715, 1]
[346504, 1]
[349293, 1]
[352081, 1]
[354870, 1]
[357659, 1]
[360448, 1]
[363236, 1]
[366025, 1]
[368814, 1]
[371603, 1]
[374391, 1]
[377180, 1]
[379969, 1]
[382758, 1]
[385546, 1]
[388335, 1]
[391124, 1]
[393913, 1]
[396701, 1]
[399490, 1]
[402279, 1]
[405068, 1]
[407856, 1]
[410645, 1]
[413434, 1]
[416223, 1]
[419011, 1]
[421800, 1]
[424589, 1]
[427378, 1]
[430166, 1]
[432955, 1]
[435744, 1]
[438533, 1]
[441321, 1]
[444110, 1]
[446899, 1]
[449688, 1]
[452476, 1]
[455265, 1]
[458054, 1]
[460843, 1]
[463631, 1]
[467814, 1]
[470603, 1]
[473392, 1]
[476181, 1]
[478969, 1]
[481758, 1]
[484547, 1]
[487336, 1]
[490124, 1]
[492913, 1]
[495702, 1]
[498491, 1]
[501279, 1]
[504068, 1]
[506857, 1]
[509646, 1]
[512434, 1]
[515223, 1]
[518012, 1]
[520801, 1]
[523589, 1]
[525625, 2]
[527408, 1]
[529191, 2]
[530975, 2]
[532758, 2]
[534541, 1]
[536324, 2]
[538108, 2]
[539891, 1]
[541674, 2]
[543457, 2]
[545241, 2]
[547024, 1]
[548807, 2]
[550591, 2]
[552374, 2]
[554157, 1]
[555940, 2]
[557724, 2]
[559507, 1]
[561290, 2]
[563073, 2]
[564857, 2]
[566640, 1]
[568423, 2]
[570207, 2]
[571990, 2]
[573773, 1]
[575556, 2]
[577340, 2]
[579123, 1]
[580906, 2]
[582689, 2]
[584473, 2]
[586256, 1]
[588039, 2]
[589823, 2]
[591606, 2]
[593389, 1]
[595172, 2]
[596956, 2]
[598739, 1]
[600522, 2]
[602305, 2]
[604089, 2]
[605872, 1]
[607655, 2]
[609439, 2]
[611222, 2]
[613005, 1]
[614788, 2]
[616572, 2]
[618355, 1]
[620138, 2]
[621921, 2]
[623705, 2]
[625488, 1]
[627271, 2]
[629055, 2]
[630838, 2]
[632621, 1]
[634404, 2]
[636188, 2]
[637971, 1]
[639754, 2]
[641537, 2]
[643321, 2]
[645104, 1]
[646887, 2]
[648671, 2]
[650454, 2]
[652237, 1]
[654020, 2]
[655804, 2]
[657587, 1]
[659370, 2]
[661153, 2]
[662937, 2]
[664720, 1]
[666503, 2]
[668287, 2]
[670070, 2]
[671853, 1]
[673636, 2]
[675420, 2]
[677203, 1]
[678986, 2]
[680769, 2]
[682553, 2]
[684336, 1]
[686119, 2]
[687903, 2]
[689686, 2]
[691469, 1]
[693252, 2]
[695036, 2]
[696819, 1]
[698602, 2]
[700385, 2]
[702169, 2]
[703952, 1]
[705735, 2]
[707519, 2]
[709302, 2]
[711085, 1]
[712868, 2]
[714652, 2]
[716435, 1]
[718218, 2]
[720001, 2]
[721785, 2]
[723568, 1]
[725351, 2]
[727135, 2]
[728918, 2]
[730701, 1]
[732484, 2]
[734268, 2]
[736051, 1]
[737834, 2]
[739617, 2]
[741401, 2]
[743184, 1]
[744967, 2]
[746751, 2]
[748534, 2]
[750317, 1]
[752100, 2]
[753884, 2]
[755667, 1]
[757450, 2]
[759233, 2]
[761017, 2]
[762800, 1]
[764583, 2]
[766367, 2]
[768150, 2]
[769933, 1]
[771716, 2]
[773500, 2]
[775283, 1]
[777066, 2]
[778849, 2]
[780633, 2]
[782416, 1]
[784199, 2]
[785983, 2]
[787207, 3]
[788243, 4]
[789279, 4]
[790316, 4]
[791352, 1]
[792388, 2]
[793424, 2]
[794460, 3]
[795496, 4]
[796532, 4]
[797569, 4]
[798605, 1]
[799641, 2]
[800677, 2]
[801713, 3]
[803267, 4]
[804304, 4]
[805340, 4]
[806376, 1]
[807412, 2]
[808448, 2]
[809484, 3]
[810520, 4]
[811556, 4]
[812593, 4]
[813629, 1]
[814665, 2]
[815701, 2]
[816737, 3]
[817773, 4]
[818809, 4]
[819846, 4]
[820882, 1]
[821918, 1]
[822954, 2]
[823990, 3]
[825026, 3]
[826062, 4]
[827099, 4]
[828135, 4]
[829171, 1]
[830207, 2]
[831243, 3]
[832279, 3]
[833315, 4]
[834352, 4]
[835388, 4]
[836424, 1]
[837460, 2]
[838496, 3]
[839532, 3]
[840568, 4]
[841605, 4]
[842641, 4]
[843677, 1]
[844713, 2]
[845749, 2]
[846785, 3]
[847821, 4]
[848857, 4]
[849894, 4]
[850930, 1]
[851966, 2]
[853002, 2]
[854038, 3]
[855074, 4]
[856110, 4]
[857147, 4]
[858183, 1]
[859219, 1]
[860255, 2]
[861291, 3]
[862327, 3]
[863363, 4]
[864400, 4]
[865436, 4]
[866472, 1]
[867508, 2]
[868544, 3]
[869580, 3]
[870616, 4]
[871653, 4]
[872689, 4]
[873725, 1]
[874761, 2]
[875797, 3]
[876833, 3]
[877869, 4]
[878906, 4]
[879942, 4]
[880978, 1]
[882014, 2]
[883050, 2]
[884086, 3]
[885122, 4]
[886158, 4]
[887195, 4]
[888231, 1]
[889267, 2]
[890303, 2]
[891339, 3]
[892375, 4]
[893411, 4]
[894448, 4]
[895484, 1]
[896520, 1]
[897556, 2]
[898592, 3]
[899628, 3]
[900664, 4]
[901701, 4]
[902737, 4]
[903773, 1]
[904809, 2]
[905845, 3]
[906881, 3]
[907917, 4]
[908954, 4]
[909990, 4]
[911026, 1]
[912062, 2]
[913098, 3]
[914134, 3]
[915170, 4]
[916207, 4]
[917243, 4]
[917926, 2]
[918490, 8]
[919053, 6]
[919617, 4]
[920181, 2]
[920744, 8]
[921308, 6]
[921872, 4]
[922436, 2]
[922999, 8]
[923563, 6]
[924127, 4]
[924691, 1]
[925254, 8]
[925818, 6]
[926382, 4]
[926946, 1]
[927509, 8]
[928073, 6]
[928637, 3]
[929201, 1]
[929764, 8]
[930328, 6]
[930892, 3]
[931456, 1]
[932019, 8]
[932583, 5]
[933147, 3]
[933711, 1]
[934274, 7]
[934838, 5]
[935402, 3]
[935966, 8]
[936529, 7]
[937093, 5]
[937657, 3]
[938221, 8]
[938784, 7]
[939348, 5]
[939912, 2]
[940476, 8]
[941039, 7]
[941603, 5]
[942167, 2]
[942731, 8]
[943294, 7]
[943858, 4]
[944422, 2]
[944986, 8]
[945549, 7]
[946113, 4]
[946677, 2]
[947241, 8]
[947804, 6]
[948368, 4]
[948932, 2]
[949495, 8]
[950059, 6]
[950623, 4]
[951187, 2]
[951750, 8]
[952314, 6]
[952878, 4]
[953442, 1]
[954005, 8]
[954569, 6]
[955133, 4]
[955697, 1]
[956260, 8]
[956824, 6]
[957388, 3]
[957952, 1]
[958515, 8]
[959361, 4]
[959925, 2]
[960489, 8]
[961052, 7]
[961616, 4]
[962180, 2]
[962744, 8]
[963307, 6]
[963871, 4]
[964435, 2]
[964998, 8]
[965562, 6]
[966126, 4]
[966690, 2]
[967253, 8]
[967817, 6]
[968381, 4]
[968945, 1]
[969508, 8]
[970072, 6]
[970636, 4]
[971200, 1]
[971763, 8]
[972327, 6]
[972891, 3]
[973455, 1]
[974018, 8]
[974582, 6]
[975146, 3]
[975710, 1]
[976273, 8]
[976837, 5]
[977401, 3]
[977965, 1]
[978528, 7]
[979092, 5]
[979656, 3]
[980220, 8]
[980783, 7]
[981347, 5]
[981911, 3]
[982475, 8]
[983038, 7]
[983334, 12]
[983629, 10]
[983924, 8]
[984219, 6]
[984514, 3]
[984809, 1]
[985103, 16]
[985398, 14]
[985693, 12]
[985988, 10]
[986283, 8]
[986578, 5]
[986873, 3]
[987168, 1]
[987462, 16]
[987757, 14]
[988052, 12]
[988347, 10]
[988642, 7]
[988937, 5]
[989232, 3]
[989527, 1]
[989821, 16]
[990116, 14]
[990411, 11]
[990706, 9]
[991001, 7]
[991296, 5]
[991591, 3]
[991886, 1]
[992180, 15]
[992475, 13]
[992770, 11]
[993065, 9]
[993360, 7]
[993655, 5]
[993950, 3]
[994245, 16]
[994539, 15]
[994834, 13]
[995129, 11]
[995424, 9]
[995719, 7]
[996014, 4]
[996309, 2]
[996604, 16]
[996898, 15]
[997193, 13]
[997488, 11]
[997783, 9]
[998078, 6]
[998373, 4]
[998668, 2]
[998963, 16]
[999257, 15]
[999552, 13]
[999847, 11]
[1000142, 8]
[1000437, 6]
[1000732, 4]
[1001027, 2]
[1001322, 16]
[1001616, 15]
[1001911, 12]
[1002206, 10]
[1002501, 8]
[1002796, 6]
[1003091, 4]
[1003386, 2]
[1003680, 16]
[1003975, 14]
[1004270, 12]
[1004565, 10]
[1004860, 8]
[1005155, 6]
[1005450, 4]
[1005745, 2]
[1006039, 16]
[1006334, 14]
[1006629, 12]
[1006924, 10]
[1007219, 8]
[1007514, 6]
